20140901,327369258,345680798
20140902,334051783,322126588
20140903,321387717,318196041
20140904,314691010,282147976
20140905,249289263,268046320
20140906,195866600,184054380
20140907,192553832,201471163
20140908,327369258,345680798
20140909,334051783,322126588
20140910,321387717,318196041
20140911,314691010,282147976
20140912,249289263,268046320
20140913,195866600,184054380
20140914,192553832,201471163
20140915,327369258,345680798
20140916,334051783,322126588
20140917,321387717,318196041
20140918,314691010,282147976
20140919,249289263,268046320
20140920,195866600,184054380
20140921,192553832,201471163
20140922,327369258,345680798
20140923,334051783,322126588
20140924,321387717,318196041
20140925,314691010,282147976
20140926,249289263,268046320
20140927,195866600,184054380
20140928,303087562,413222034
20140929,327369258,345680798
20140930,334051783,322126588
