20140901,368878250,340561491
20140902,343808216,310698868
20140903,323925751,296615126
20140904,315357992,253892417
20140905,249433290,228276729
20140906,186820327,136643681
20140907,190881633,161404112
20140908,155970274,163240479
20140909,346676483,293129049
20140910,342851348,280938453
20140911,288793255,269557098
20140912,228712723,248700810
20140913,167972279,160388770
20140914,170455979,186882115
20140915,326666512,351060434
20140916,316879436,321861600
20140917,308872957,310035514
20140918,308598884,266936099
20140919,246883478,234170759
20140920,182761079,129551427
20140921,148959623,168556208
20140922,295365437,331889047
20140923,275940284,317611006
20140924,262203473,332133808
20140925,262328671,316573736
20140926,206770798,302376552
20140927,152118146,202799131
20140928,241285452,430397973
20140929,310209761,362859203
20140930,291727186,338595375
