SaleID,price
200000,1273.4148
200001,1900.1981
200002,8318.565
200003,1424.5452
200004,1965.8873
200005,1212.8987
200006,456.48947
200007,4552.7573
200008,8258.46
200009,589.15735
200010,615.8341
200011,2540.9792
200012,5608.7275
200013,5451.4785
200014,967.0057
200015,253.81137
200016,1783.4006
200017,8445.663
200018,6449.2515
200019,828.5836
200020,23836.012
200021,7490.312
200022,2053.1538
200023,1557.1448
200024,1052.8451
200025,6561.409
200026,431.3982
200027,12535.33
200028,4010.1492
200029,7804.3633
200030,17431.13
200031,12285.437
200032,585.9524
200033,14422.325
200034,952.3858
200035,1995.8774
200036,14087.672
200037,6005.3184
200038,1562.9888
200039,369.31107
200040,552.37573
200041,23993.27
200042,477.01105
200043,6794.8545
200044,18594.078
200045,549.77374
200046,19121.402
200047,18008.842
200048,2108.1663
200049,3174.2688
200050,196.13248
200051,4543.3823
200052,3300.0203
200053,468.01343
200054,12996.486
200055,9803.199
200056,5873.4214
200057,3332.5928
200058,986.97327
200059,5231.138
200060,8368.581
200061,1152.1938
200062,5586.0103
200063,8260.713
200064,1345.1805
200065,1604.7432
200066,478.12582
200067,8884.428
200068,193.6229
200069,17601.68
200070,9530.526
200071,192.4651
200072,6728.4844
200073,18861.654
200074,4768.198
200075,14459.87
200076,2873.2244
200077,186.61897
200078,369.59564
200079,3519.717
200080,3027.658
200081,2004.1844
200082,5300.7505
200083,411.2987
200084,1209.1727
200085,1416.5142
200086,6866.77
200087,3361.9346
200088,3173.1182
200089,33180.668
200090,2585.4827
200091,191.99371
200092,1653.401
200093,13741.373
200094,6572.3325
200095,5927.365
200096,2722.742
200097,1245.4457
200098,424.01318
200099,15716.738
200100,21200.36
200101,7425.524
200102,1768.2046
200103,10924.271
200104,5237.754
200105,4413.1074
200106,8604.746
200107,1872.2648
200108,14036.239
200109,8057.994
200110,729.6932
200111,1962.7498
200112,1814.2833
200113,318.51242
200114,2140.9905
200115,1270.1078
200116,14368.67
200117,15256.199
200118,62048.42
200119,209.1783
200120,2894.4333
200121,2655.4429
200122,680.24695
200123,2364.0393
200124,53960.01
200125,551.479
200126,3244.1384
200127,14510.627
200128,1630.646
200129,5916.791
200130,3995.662
200131,2785.328
200132,1434.3002
200133,1795.7288
200134,1396.5634
200135,2912.0444
200136,4094.5352
200137,698.60986
200138,9965.982
200139,6407.05
200140,2716.6653
200141,1430.6937
200142,3310.937
200143,5549.123
200144,1457.2845
200145,6253.6846
200146,2650.3518
200147,4545.7363
200148,2766.0752
200149,197.37
200150,11323.442
200151,5118.8833
200152,646.32434
200153,516.5099
200154,6604.413
200155,2710.8657
200156,16631.27
200157,7978.93
200158,9944.116
200159,1005.5167
200160,6140.7095
200161,6744.677
200162,6660.494
200163,1361.5016
200164,16357.661
200165,12917.989
200166,23152.273
200167,3865.1172
200168,36309.273
200169,683.8688
200170,2729.7864
200171,8570.533
200172,1733.5938
200173,35290.703
200174,1069.6163
200175,2605.2876
200176,8511.636
200177,5872.111
200178,5114.573
200179,4548.0347
200180,867.9829
200181,15826.982
200182,4454.105
200183,1718.024
200184,2121.7944
200185,3590.921
200186,3347.5237
200187,5372.9897
200188,10295.086
200189,8537.865
200190,3580.2456
200191,2818.5447
200192,1059.119
200193,4385.382
200194,6802.3247
200195,2472.6777
200196,749.5435
200197,21811.328
200198,1255.6326
200199,4735.8975
200200,352.3961
200201,7879.4805
200202,2087.8762
200203,1581.6683
200204,8286.114
200205,5115.608
200206,845.4775
200207,5049.9243
200208,5810.782
200209,1011.4055
200210,13603.528
200211,5296.348
200212,7398.8853
200213,9656.098
200214,19959.055
200215,7557.2295
200216,3171.5022
200217,1284.5431
200218,9778.826
200219,1224.8843
200220,2356.9834
200221,7755.9214
200222,2316.985
200223,448.40176
200224,12294.169
200225,3606.6646
200226,1200.8652
200227,9116.452
200228,220.06548
200229,6737.668
200230,9301.191
200231,4962.317
200232,937.03625
200233,7454.8677
200234,354.70718
200235,8486.579
200236,10272.586
200237,4492.5293
200238,6471.336
200239,8225.1455
200240,22435.408
200241,11102.184
200242,3823.1013
200243,3391.9712
200244,6627.895
200245,3837.3655
200246,4295.929
200247,1131.5447
200248,216.8397
200249,9487.121
200250,25568.186
200251,10091.003
200252,803.325
200253,7824.808
200254,10917.896
200255,7666.9834
200256,2278.9
200257,10585.692
200258,3298.8997
200259,7847.485
200260,1528.3458
200261,4180.334
200262,2866.8394
200263,8861.088
200264,6808.459
200265,3742.383
200266,1383.2279
200267,14540.427
200268,7263.666
200269,3452.8125
200270,8870.499
200271,3207.5613
200272,2799.9304
200273,17038.508
200274,429.7077
200275,13820.074
200276,1911.927
200277,3189.6404
200278,1457.2074
200279,9108.804
200280,1755.7922
200281,836.0036
200282,13327.269
200283,6460.26
200284,399.80402
200285,4976.794
200286,3487.7808
